FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio,People_Tested,People_Hospitalized,UID,ISO3,Testing_Rate,Hospitalization_Rate
,,Gansu,China,2020-09-01 04:28:31,35.7518,104.2861,169,2,167.0,0.0,"Gansu, China",0.6408797876374668,1.183431952662722,,,,,,
,,Guangdong,China,2020-09-01 04:28:31,23.3417,113.4244,1740,8,1721.0,11.0,"Guangdong, China",1.5335801163405605,0.4597701149425287,,,,,,
,,Guangxi,China,2020-09-01 04:28:31,23.8298,108.7881,255,2,253.0,0.0,"Guangxi, China",0.5176613885505481,0.7843137254901961,,,,,,
,,Guizhou,China,2020-09-01 04:28:31,26.8154,106.8748,147,2,145.0,0.0,"Guizhou, China",0.4083333333333333,1.3605442176870748,,,,,,
,,Hainan,China,2020-09-01 04:28:31,19.1959,109.7453,171,6,165.0,0.0,"Hainan, China",1.8308351177730195,3.5087719298245608,,,,,,
,,Hebei,China,2020-09-01 04:28:31,37.8957,114.9042,365,6,346.0,13.0,"Hebei, China",0.4830598200105876,1.643835616438356,,,,,,
,,Heilongjiang,China,2020-09-01 04:28:31,47.861999999999995,127.7615,948,13,935.0,0.0,"Heilongjiang, China",2.5125894513649616,1.3713080168776368,,,,,,
,,Henan,China,2020-09-01 04:28:31,33.882,113.61399999999999,1276,22,1254.0,0.0,"Henan, China",1.3284747527329517,1.7241379310344829,,,,,,
,,Hong Kong,China,2020-09-01 04:28:31,22.3,114.2,4810,89,4342.0,379.0,"Hong Kong, China",64.15909962774384,1.8503118503118503,,,,,,
,,Hubei,China,2020-09-01 04:28:31,30.9756,112.2707,68139,4512,63627.0,0.0,"Hubei, China",115.1580192665202,6.621758464315589,,,,,,
,,Hunan,China,2020-09-01 04:28:31,27.6104,111.7088,1019,4,1015.0,0.0,"Hunan, China",1.4770256558921582,0.3925417075564279,,,,,,
,,Inner Mongolia,China,2020-09-01 04:28:31,44.0935,113.9448,261,1,257.0,3.0,"Inner Mongolia, China",1.0299921073401737,0.3831417624521073,,,,,,
,,Jiangsu,China,2020-09-01 04:28:31,32.9711,119.455,665,0,658.0,7.0,"Jiangsu, China",0.8259843497702148,0.0,,,,,,
,,Jiangxi,China,2020-09-01 04:28:31,27.614,115.7221,935,1,934.0,0.0,"Jiangxi, China",2.011617900172117,0.106951871657754,,,,,,
,,Jilin,China,2020-09-01 04:28:31,43.6661,126.1923,157,2,155.0,0.0,"Jilin, China",0.5806213017751479,1.2738853503184713,,,,,,
,,Liaoning,China,2020-09-01 04:28:31,41.2956,122.6085,262,2,259.0,1.0,"Liaoning, China",0.6010552879100711,0.7633587786259542,,,,,,
,,Macau,China,2020-09-01 04:28:31,22.1667,113.55,46,0,46.0,0.0,"Macau, China",7.084094360136879,0.0,,,,,,
,,Ningxia,China,2020-09-01 04:28:31,37.2692,106.1655,75,0,75.0,0.0,"Ningxia, China",1.0901162790697674,0.0,,,,,,
,,Qinghai,China,2020-09-01 04:28:31,35.7452,95.9956,18,0,18.0,0.0,"Qinghai, China",0.29850746268656714,0.0,,,,,,
,,Shaanxi,China,2020-09-01 04:28:31,35.1917,108.8701,365,3,355.0,7.0,"Shaanxi, China",0.9446169772256728,0.821917808219178,,,,,,
,,Shandong,China,2020-09-01 04:28:31,36.3427,118.1498,831,7,808.0,16.0,"Shandong, China",0.8271125709166915,0.8423586040914561,,,,,,
,,Shanghai,China,2020-09-01 04:28:31,31.201999999999998,121.4491,904,7,840.0,57.0,"Shanghai, China",3.7293729372937294,0.7743362831858407,,,,,,
,,Shanxi,China,2020-09-01 04:28:31,37.5777,112.2922,203,0,201.0,2.0,"Shanxi, China",0.5459924690693921,0.0,,,,,,
,,Sichuan,China,2020-09-01 04:28:31,30.6171,102.7103,652,3,624.0,25.0,"Sichuan, China",0.7816808536146745,0.4601226993865031,,,,,,
,,Tianjin,China,2020-09-01 04:28:31,39.3054,117.323,229,3,213.0,13.0,"Tianjin, China",1.4679487179487178,1.310043668122271,,,,,,
,,Tibet,China,2020-09-01 04:28:31,31.6927,88.0924,1,0,1.0,0.0,"Tibet, China",0.02906976744186046,0.0,,,,,,
,,Xinjiang,China,2020-09-01 04:28:31,41.1129,85.2401,902,3,865.0,34.0,"Xinjiang, China",3.626859670285485,0.3325942350332594,,,,,,
,,Yunnan,China,2020-09-01 04:28:31,24.974,101.48700000000001,199,2,191.0,6.0,"Yunnan, China",0.41200828157349895,1.0050251256281406,,,,,,
,,Zhejiang,China,2020-09-01 04:28:31,29.1832,120.0934,1278,1,1268.0,9.0,"Zhejiang, China",2.227645110685027,0.0782472613458529,,,,,,
,,Amazonas,Colombia,2020-09-01 04:28:31,-1.4429,-71.5724,2701,111,2559.0,31.0,"Amazonas, Colombia",3526.616093694917,4.109589041095891,,,,,,
